rank,domain,service_assessment,proposed_categories,planned_browser_action,automated_feasibility,uncertainty,source_url,assessed_date
1,google.com,Search engine,web_browsing,Search or visit results; scroll a public page,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://google.com/,2026-09-14
2,cloudflare.com,Cloud and security product site,web_browsing,Read product documentation,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://cloudflare.com/,2026-09-14
3,facebook.com,Social network; login redirect observed,web_browsing;video_streaming,Public page only; video needs supplied public clip and verified playback,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://facebook.com/,2026-09-14
4,gstatic.com,Google resource/API or device-service hosts; no usable apex page,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://support.google.com/chrome/a/answer/6334001?hl=en,2026-09-14
5,googleapis.com,Google resource/API or device-service hosts; no usable apex page,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://support.google.com/chrome/a/answer/6334001?hl=en,2026-09-14
6,microsoft.com,Software and cloud product site,web_browsing,Read product pages,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://microsoft.com/,2026-09-14
7,akamai.net,Akamai delivery/DNS infrastructure; apex fetch failed,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://www.akamai.com/blog/developers/adding-akamai-shared-domains-to-the-public-suffix-list,2026-09-14
8,amazonaws.com,Cloud infrastructure; apex redirects to AWS marketing,web_browsing,Browse AWS information; record redirect,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://amazonaws.com/,2026-09-14
9,youtube.com,Video platform; sparse research response,web_browsing;video_streaming,Open a specific public watch URL; verify advancing video frames,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://youtube.com/,2026-09-14
10,apple.com,Hardware and services product site,web_browsing,Browse product specifications,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://apple.com/,2026-09-14
11,instagram.com,Social photo/video service; HTTP 429,web_browsing;video_streaming,Skip default; public post only after access check,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://instagram.com/,2026-09-14
12,mail.ru,Mail portal; login redirect,web_browsing;email,Landing page only; email requires test account and separate implementation,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://mail.ru/,2026-09-14
13,fbcdn.net,Apex redirects to blocked Facebook login; content service role not established by apex,web_browsing,Do not collect apex as CDN activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://fbcdn.net/,2026-09-14
14,ezviz7.com,Unknown; no accessible page or authoritative role found,unknown,Skip pending device/service documentation,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://ezviz7.com/,2026-09-14
15,twitter.com,Social site; HTTP 403 in research,web_browsing;video_streaming,Skip default; assess public post access,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://twitter.com/,2026-09-14
16,dzen.ru,Inaccessible in research; activity capabilities unverified,unknown,Skip pending accessible evidence,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://dzen.ru/,2026-09-14
17,linkedin.com,Professional community with articles and video,web_browsing;video_streaming,Read public article; streaming needs specific clip,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://linkedin.com/,2026-09-14
18,googlevideo.com,Apex inaccessible; precise service role not confirmed from accessible primary evidence,unknown,Skip standalone collection; investigate service-specific documentation before use,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://googlevideo.com/,2026-09-14
19,domaincontrol.com,GoDaddy authoritative DNS nameserver namespace; apex inaccessible,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://developer.godaddy.com/en/docs/api-users/troubleshoot/dns,2026-09-14
20,googletagmanager.com,Apex inaccessible; precise service role not confirmed from accessible primary evidence,unknown,Skip standalone collection; investigate service-specific documentation before use,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://googletagmanager.com/,2026-09-14
21,office.com,Microsoft 365/Copilot portal redirect,web_browsing,Public landing only; workspace needs test account,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://office.com/,2026-09-14
22,live.com,Outlook mail redirect; sparse page,web_browsing;email,Landing only; mail workflow deferred,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://live.com/,2026-09-14
23,akamaiedge.net,Akamai delivery/DNS infrastructure; apex fetch failed,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://www.akamai.com/blog/developers/adding-akamai-shared-domains-to-the-public-suffix-list,2026-09-14
24,hicloudcam.com,Unknown; apex inaccessible and role unverified,unknown,Skip pending authoritative device documentation,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://hicloudcam.com/,2026-09-14
25,amazon.com,Retail homepage; sparse research response,web_browsing,Browse public product information; no purchases,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://amazon.com/,2026-09-14
26,gtld-servers.net,DNS nameserver namespace; not an end-user webpage,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://gnso.icann.org/sites/default/files/filefield_38031/presentation-dnssec-beginners-08apr13-en.pdf,2026-09-14
27,akadns.net,Akamai delivery/DNS infrastructure; apex fetch failed,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://www.akamai.com/blog/developers/adding-akamai-shared-domains-to-the-public-suffix-list,2026-09-14
28,azure.com,Cloud computing product site,web_browsing,Read cloud documentation,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://azure.com/,2026-09-14
29,github.com,Code hosting and collaboration,web_browsing,Read public repository README; no clone/download,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://github.com/,2026-09-14
30,wikipedia.org,Encyclopedia,web_browsing,Read and scroll article; follow explicit article link,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://wikipedia.org/,2026-09-14
31,bing.com,Search engine; dynamic page,web_browsing,Public search and result browsing,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://bing.com/,2026-09-14
32,whatsapp.net,Redirects to WhatsApp; messaging and browser calls advertised,web_browsing;messaging;video_conferencing,Marketing browsing only; calls need controlled participants/account,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://whatsapp.net/,2026-09-14
33,apple-dns.net,DNS for iCloud services; not a standalone browsing target,none_standalone,No standalone session; capture only as dependency of verified activity,skip,Apex inaccessible in research; endpoint role supported by vendor documentation. Local traffic not tested.,https://support.apple.com/en-us/101555,2026-09-14
34,appsflyersdk.com,AppsFlyer SDK event/attribution endpoint; apex inaccessible,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://dev.appsflyer.com/hc/docs/testing-ios,2026-09-14
35,googleusercontent.com,Google resource/API or device-service hosts; no usable apex page,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://support.google.com/chrome/a/answer/6334001?hl=en,2026-09-14
36,fastly.net,Redirects to Fastly cloud/CDN marketing,web_browsing,Read product page; no CDN-specific label,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://fastly.net/,2026-09-14
37,doubleclick.net,Redirects to Google advertising product information,web_browsing,Browse marketing page; no advertising label,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://doubleclick.net/,2026-09-14
38,aaplimg.com,Apex inaccessible; precise service role not confirmed from accessible primary evidence,unknown,Skip standalone collection; investigate service-specific documentation before use,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://aaplimg.com/,2026-09-14
39,microsoftonline.com,Microsoft 365 identity and authentication endpoints,none_standalone,No standalone session; capture only as dependency of verified activity,skip,Apex inaccessible in research; endpoint role supported by vendor documentation. Local traffic not tested.,https://learn.microsoft.com/en-us/microsoft-365/enterprise/urls-and-ip-address-ranges?view=o365-worldwide,2026-09-14
40,office.net,Microsoft Office Online resource endpoints,none_standalone,No standalone session; capture only as dependency of verified activity,skip,Apex inaccessible in research; endpoint role supported by vendor documentation. Local traffic not tested.,https://learn.microsoft.com/en-us/microsoft-365/enterprise/urls-and-ip-address-ranges?view=o365-worldwide,2026-09-14
41,netflix.com,Subscription television and film streaming,web_browsing;video_streaming,Landing browsing; playback requires account and compatible DRM,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://netflix.com/,2026-09-14
42,trafficmanager.net,Azure DNS traffic routing namespace; apex inaccessible,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://learn.microsoft.com/en-us/azure/traffic-manager/traffic-manager-how-it-works,2026-09-14
43,sharepoint.com,Redirects to SharePoint file collaboration marketing,web_browsing;file_transfer,Public marketing only; authenticated file transfer deferred,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://sharepoint.com/,2026-09-14
44,cloud.microsoft,Microsoft 365 portal redirect,web_browsing,Public landing only; account-dependent activities deferred,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://cloud.microsoft/,2026-09-14
45,gandi.net,Domain registration and hosting,web_browsing,Browse hosting information; no purchase,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://gandi.net/,2026-09-14
46,youtu.be,Redirects to YouTube; short video links,web_browsing;video_streaming,Use specific clip path and verify playback; avoid duplicate YouTube sampling,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://youtu.be/,2026-09-14
47,digicert.com,Certificate service site; apex fetch failed,web_browsing,Retry public product information only if accessible,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://digicert.com/,2026-09-14
